,Provider Name,Order Label,County,Geocoded Address
1332,CVS Store #02438,Lagevrio (molnupiravir),Bronx,POINT (-73.922245 40.816965)
1349,Rite Aid 07906,Paxlovid,Bronx,POINT (-73.90122 40.819565)
1375,NYC H+H / JACOBI INPATIENT,Paxlovid,Bronx,POINT (-73.84023 40.84569)
1380,ST. BARNABAS HEALTH SYSTEM,Evusheld,Bronx,POINT (-73.89143 40.85328)
1413,Stop and Shop Store # 2593,Paxlovid,Bronx,POINT (-73.88371 40.83791)
1505,Rite Aid 03858,Lagevrio (molnupiravir),Bronx,POINT (-73.85978 40.87556)
1540,Rite Aid 10543,Paxlovid,Bronx,POINT (-73.917565 40.87848)
1608,Rite Aid 04258,Lagevrio (molnupiravir),Bronx,POINT (-73.87943 40.82841)
1650,Stop and Shop Store # 2592,Paxlovid,Bronx,POINT (-73.82667 40.8683)
1659,Elder Pharmacy LLC,Paxlovid,Bronx,POINT (-73.87894 40.82882)
1700,CVS Store #17649,Paxlovid,Bronx,POINT (-73.8374 40.82359)
1712,Rite Aid 03844,Lagevrio (molnupiravir),Bronx,POINT (-73.89161 40.82207)
1869,Stop and Shop Store # 2593,Lagevrio (molnupiravir),Bronx,POINT (-73.88371 40.83791)
1887,RITE CARE PHARMACY,Lagevrio (molnupiravir),Bronx,POINT (-73.866615 40.821565)
1891,Stop and Shop Store # 504,Paxlovid,Bronx,POINT (-73.826647 40.87904)
1907,CVS Store #08940,Paxlovid,Bronx,POINT (-73.87127 40.83028)
1967,CVS Store #07067,Lagevrio (molnupiravir),Bronx,POINT (-73.85315 40.85288)
2032,Rite Aid 03774,Paxlovid,Bronx,POINT (-73.84314 40.8614)
2038,Rite Aid 04294,Lagevrio (molnupiravir),Bronx,POINT (-73.85784 40.89279)
2042,Rite Aid 02669,Lagevrio (molnupiravir),Bronx,POINT (-73.82832 40.87006)
2119,CVS Store #16921,Lagevrio (molnupiravir),Bronx,POINT (-73.90676 40.87332)
2136,CVS Store #16921,Paxlovid,Bronx,POINT (-73.90676 40.87332)
2160,CVS Store #17649,Lagevrio (molnupiravir),Bronx,POINT (-73.8374 40.82359)
2179,LevelUP MD Urgent Care,Bebtelovimab,Bronx,POINT (-73.878405 40.872485)
2266,CVS Store #02551,Paxlovid,Bronx,POINT (-73.87962 40.874415)
2375,Rite Aid 04824,Paxlovid,Bronx,POINT (-73.91838 40.80731)
2395,Rite Aid 03774,Lagevrio (molnupiravir),Bronx,POINT (-73.84314 40.8614)
2410,Rite Aid 03817,Lagevrio (molnupiravir),Bronx,POINT (-73.90605 40.85362)
2508,Rite Aid 03858,Paxlovid,Bronx,POINT (-73.85978 40.87556)
2547,CVS Store #02551,Lagevrio (molnupiravir),Bronx,POINT (-73.87962 40.874415)
2577,CVS Store #07066,Lagevrio (molnupiravir),Bronx,POINT (-73.91044 40.88584)
2590,Stop and Shop Store # 504,Lagevrio (molnupiravir),Bronx,POINT (-73.826647 40.87904)
2605,Rite Aid 03980,Lagevrio (molnupiravir),Bronx,POINT (-73.843135 40.889065)
2685,Rite Aid 10541,Paxlovid,Bronx,POINT (-73.90083 40.88546)
2722,Rite Aid 10543,Lagevrio (molnupiravir),Bronx,POINT (-73.917565 40.87848)
2744,Walgreens Store #18988,Lagevrio (molnupiravir),Bronx,POINT (-73.861005 40.866075)
2781,BronxCare Medical and Dental at Poe,Paxlovid,Bronx,POINT (-73.91124 40.84432)
2809,Rite Aid 10541,Lagevrio (molnupiravir),Bronx,POINT (-73.90083 40.88546)
2823,Sirisha Pharmacy,Paxlovid,Bronx,POINT (-73.86746 40.86855)
2856,Rite Aid 03359,Lagevrio (molnupiravir),Bronx,POINT (-73.859175 40.84704)
2884,Rite Aid 04267,Paxlovid,Bronx,POINT (-73.928175 40.83548)
2942,Walgreens Store #18990,Lagevrio (molnupiravir),Bronx,POINT (-73.82513 40.82924)
3003,Rite Aid 03429,Lagevrio (molnupiravir),Bronx,POINT (-73.91204 40.84183)
