Provider Name,Address1,Address2,City,County,State Code,Zip,National Drug Code,Order Label,Courses Available,Geocoded Address,NPI,Last Report Date,Provider Status,Provider Note
Walmart Pharmacy #2164,317 S Cascade Dr,,Springville,Erie,NY,14141,00069-1085-30,Paxlovid,3,POINT (-78.69327 42.50096),1790702850.0,04/29/2022 12:00:00 AM,ACTIVE,
CVS Store #05370,1 EAST MERRICK RD,CVS Pharmacy,Valley Stream,Nassau,NY,11580,00006-5055-06,Lagevrio (molnupiravir),40,POINT (-73.69719 40.664825),1114020948.0,04/29/2022 12:00:00 AM,ACTIVE,
Walgreens Store #09799,49 KELLOGG RD,,New Hartford,Oneida,NY,13413,00006-5055-06,Lagevrio (molnupiravir),46,POINT (-75.276515 43.05521),1124033204.0,04/29/2022 12:00:00 AM,ACTIVE,
CVS Store #04611,951 ATLANTIC AVE,CVS Pharmacy,Baldwin,Nassau,NY,11510,00006-5055-06,Lagevrio (molnupiravir),24,POINT (-73.60699 40.64008),1689777419.0,04/29/2022 12:00:00 AM,ACTIVE,
Walgreens Store #10698,303 MAIN ST,,Massena,Saint Lawrence,NY,13662,00006-5055-06,Lagevrio (molnupiravir),96,POINT (-74.8894 44.92264),1619164431.0,04/29/2022 12:00:00 AM,ACTIVE,
NYC HEALTH + HOSPITALS/CONEY ISLAND,2601 OCEAN PARKWAY,ROOM 2N1D,Brooklyn,Kings,NY,11235,00002-7589-01,Bebtelovimab,70,POINT (-73.96573 40.58602),,04/28/2022 12:00:00 AM,ACTIVE,
Rite Aid 03521,1410 DELAWARE AVENUE,,Buffalo,Erie,NY,14209-1111,00069-1085-30,Paxlovid,14,POINT (-78.867685 42.922695),1154430635.0,04/30/2022 12:00:00 AM,ACTIVE,
CVS Store #05015,139 EAST MAIN ST.,CVS Pharmacy,Waterville,Oneida,NY,13480,00069-1085-30,Paxlovid,25,POINT (-75.378275 42.93164),1750484598.0,04/29/2022 12:00:00 AM,ACTIVE,
CVS Store #05055,"3081 ROUTE 22,",CVS Pharmacy,Dover Plains,Dutchess,NY,12522,00006-5055-06,Lagevrio (molnupiravir),24,POINT (-73.5816 41.7353),1043311590.0,04/29/2022 12:00:00 AM,ACTIVE,
CVS Store #16824,1 SANGERTOWN SQ STE 3,CVS Pharmacy,New Hartford,Oneida,NY,13413,00069-1085-30,Paxlovid,20,POINT (-75.32392 43.08208),1891718102.0,04/29/2022 12:00:00 AM,ACTIVE,
ESCO DRUG CO INC,687 9TH AVENUE,,New York,New York,NY,10036,00310-7442-02,Evusheld,10,POINT (-73.990395 40.761915),1275626608.0,04/30/2022 12:00:00 AM,ACTIVE,
CVS Store #01084,114 S. LONG BEACH RD.,CVS Pharmacy,Freeport,Nassau,NY,11520,00069-1085-30,Paxlovid,73,POINT (-73.590135 40.652985),1396937421.0,04/29/2022 12:00:00 AM,ACTIVE,
CVS Store #06275,777 SOUTH OYSTER BAY RD,CVS Pharmacy,Bethpage,Nassau,NY,11714,00006-5055-06,Lagevrio (molnupiravir),23,POINT (-73.4998 40.764195),1578793592.0,04/29/2022 12:00:00 AM,ACTIVE,
Rite Aid 10620,198 WEST MERRICK ROAD,,Valley Stream,Nassau,NY,11580-5512,00069-1085-30,Paxlovid,24,POINT (-73.70453 40.66622),1396844650.0,04/30/2022 12:00:00 AM,ACTIVE,
CVS Store #02437,732 ALLERTON AVENUE,CVS Pharmacy,Bronx,Bronx,NY,10467,00006-5055-06,Lagevrio (molnupiravir),24,POINT (-73.86608 40.8653),1679677439.0,04/29/2022 12:00:00 AM,ACTIVE,
Rite Aid 01652,2315 WILLIAM STREET,,Buffalo,Erie,NY,14206-2526,00069-1085-30,Paxlovid,24,POINT (-78.7852 42.88406),1588773808.0,04/30/2022 12:00:00 AM,ACTIVE,
CVS Store #02305,159-18 ROUTE 25A,CVS Pharmacy,Miller Place,Suffolk,NY,11764,00006-5055-06,Lagevrio (molnupiravir),22,POINT (-72.99795 40.94447),1780782318.0,04/29/2022 12:00:00 AM,ACTIVE,
Rite Aid 10859,1792 NORTH GOODMAN STREET,,Rochester,Monroe,NY,14609-1036,00069-1085-30,Paxlovid,23,POINT (-77.57593 43.1881),1760582118.0,04/30/2022 12:00:00 AM,ACTIVE,
CVS Store #10933,161 AVENUE OF THE AMERICAS,CVS Pharmacy,New York,New York,NY,10013,00069-1085-30,Paxlovid,20,POINT (-74.0039 40.72553),1396305561.0,04/29/2022 12:00:00 AM,ACTIVE,
Walmart Pharmacy #2135,139 Merchant Pl,,Cobleskill,Schoharie,NY,12043,00006-5055-06,Lagevrio (molnupiravir),48,POINT (-74.45542 42.68217),1336166495.0,04/29/2022 12:00:00 AM,ACTIVE,
Rite Aid 01148,1717 PINE AVENUE,,Niagara Falls,Niagara,NY,14301-2231,00006-5055-06,Lagevrio (molnupiravir),24,POINT (-79.0405 43.094645),1619086923.0,04/30/2022 12:00:00 AM,ACTIVE,
Walgreens Store #17267,1829 CHILI AVE,,Rochester,Monroe,NY,14624,00069-1085-30,Paxlovid,4,POINT (-77.683785 43.132885),1639696156.0,04/29/2022 12:00:00 AM,ACTIVE,
CVS Store #01761,54-06 31ST AVENUE,CVS Pharmacy,Woodside,Queens,NY,11377,00006-5055-06,Lagevrio (molnupiravir),24,POINT (-73.907 40.7569),1497859250.0,04/29/2022 12:00:00 AM,ACTIVE,
CVS Store #02441,2151 86TH STREET,CVS Pharmacy,Brooklyn,Kings,NY,11214,00006-5055-06,Lagevrio (molnupiravir),24,POINT (-73.99462 40.60264),1023112885.0,04/29/2022 12:00:00 AM,ACTIVE,
Walgreens Store #12067,416 WINDSOR HWY,,Vails Gate,Orange,NY,12584,00006-5055-06,Lagevrio (molnupiravir),48,POINT (-74.05731 41.45539),1750664975.0,04/29/2022 12:00:00 AM,ACTIVE,
MOUNT SINAI HOSP SO NASSAU,One Healthy Way,,Oceanside,Nassau,NY,11572,00310-7442-02,Evusheld,273,POINT (-73.63107 40.65129),1922079094.0,04/29/2022 12:00:00 AM,ACTIVE,
Walgreens Store #19377,4001 S SALINA ST,,Syracuse,Onondaga,NY,13205,00006-5055-06,Lagevrio (molnupiravir),44,POINT (-76.14192 43.00938),1770007494.0,04/29/2022 12:00:00 AM,ACTIVE,
Horizon Pharmacy III,8114 Broadway,,Elmhurst,Queens,NY,11373,00069-1085-30,Paxlovid,20,POINT (-73.88353 40.74308),1508128109.0,04/29/2022 12:00:00 AM,ACTIVE,
CVS Store #11075,2833 BROADWAY,CVS Pharmacy,New York,New York,NY,10025,00069-1085-30,Paxlovid,13,POINT (-73.96712 40.80405),1407363567.0,04/29/2022 12:00:00 AM,ACTIVE,
LevelUP MD Urgent Care Broadway,236 BROADWAY,,Brooklyn,Kings,NY,11211,00310-7442-02,Evusheld,24,POINT (-73.96015 40.709),,04/27/2022 12:00:00 AM,ACTIVE,
Rite Aid 04954,7812 FLATLANDS AVENUE,,Brooklyn,Kings,NY,11236-3530,00006-5055-06,Lagevrio (molnupiravir),24,POINT (-73.91392 40.63467),1588774483.0,04/30/2022 12:00:00 AM,ACTIVE,
Medwiz Solutions LLC,167 Route 304,Unit 101,Bardonia,Rockland,NY,10954,00310-7442-02,Evusheld,24,POINT (-73.99756 41.10394),,04/29/2022 12:00:00 AM,ACTIVE,
CVS Store #02578,16 WEYMAN AVE.,CVS Pharmacy,New Rochelle,Westchester,NY,10805,00069-1085-30,Paxlovid,7,POINT (-73.79192 40.90058),1790889541.0,04/29/2022 12:00:00 AM,ACTIVE,
Rite Aid 10650,700 PATCHOGUE YAPHANK RD STE 43,,Medford,Suffolk,NY,11763,00006-5055-06,Lagevrio (molnupiravir),24,POINT (-72.95394 40.80853),1598866303.0,04/30/2022 12:00:00 AM,ACTIVE,
ST PETERS HOSPITAL,Department of Pharmacy,315 S Manning Blvd,Albany,Albany,NY,12208,00310-7442-02,Evusheld,96,POINT (-73.80351 42.657655),1619191806.0,03/03/2022 12:00:00 AM,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
Stop and Shop Store # 544,425 PORTION ROAD,,Lake Ronkonkoma,Suffolk,NY,11779,00069-1085-30,Paxlovid,9,POINT (-73.09562 40.8303),1114959079.0,04/30/2022 12:00:00 AM,ACTIVE,
CVS Store #01216,1026 OLD COUNTRY RD,MORTON VILLAGE PLZ,Plainview,Nassau,NY,11803,00069-1085-30,Paxlovid,19,POINT (-73.47145 40.77612),1215035860.0,04/29/2022 12:00:00 AM,ACTIVE,
CVS Store #00407,598 MERRICK ROAD,CVS Pharmacy,Rockville Centre,Nassau,NY,11570,00006-5055-06,Lagevrio (molnupiravir),24,POINT (-73.63203 40.65364),1184728933.0,04/29/2022 12:00:00 AM,ACTIVE,
CVS Store #00332,417 N. BROADWAY,CVS Pharmacy,Jericho,Nassau,NY,11753,00069-1085-30,Paxlovid,17,POINT (-73.5348 40.78836),1245338060.0,04/29/2022 12:00:00 AM,ACTIVE,
Rite Aid 01561,272 HOOSICK STREET,,Troy,Rensselaer,NY,12180-2427,00069-1085-30,Paxlovid,9,POINT (-73.669655 42.737805),1881703197.0,04/30/2022 12:00:00 AM,ACTIVE,
Stop and Shop Store # 2505,999 MONTAUK HIGHWAY,,Shirley,Suffolk,NY,11967,00006-5055-06,Lagevrio (molnupiravir),48,POINT (-72.859611 40.804417),1962685909.0,04/30/2022 12:00:00 AM,ACTIVE,
Walgreens Store #10278,606 LONG BEACH BLVD,,Long Beach,Nassau,NY,11561,00069-1085-30,Paxlovid,22,POINT (-73.65666 40.59195),1376726257.0,04/29/2022 12:00:00 AM,ACTIVE,
Rite Aid 02744,2271 RICHMOND AVENUE,,Staten Island,Richmond,NY,10314-3903,00006-5055-06,Lagevrio (molnupiravir),24,POINT (-74.16365 40.59169),1598874000.0,04/30/2022 12:00:00 AM,ACTIVE,
Walmart Pharmacy #2905,250 ROUTE 59,,Suffern,Rockland,NY,10901,00006-5055-06,Lagevrio (molnupiravir),48,POINT (-74.13317 41.11339),1962429027.0,04/29/2022 12:00:00 AM,ACTIVE,
CVS Store #05073,15 HONEOYE COMMONS,CVS Pharmacy,Honeoye,Ontario,NY,14471,00069-1085-30,Paxlovid,62,POINT (-77.50485 42.7895),1386796084.0,04/29/2022 12:00:00 AM,ACTIVE,
CVS Store #02062,85-29 126TH STREET,CVS Pharmacy,Kew Gardens,Queens,NY,11415,00069-1085-30,Paxlovid,36,POINT (-73.8247 40.70335),1952405706.0,04/29/2022 12:00:00 AM,ACTIVE,
CVS Store #05496,9300 TRANSIT RD.,CVS Pharmacy,East Amherst,Erie,NY,14051,00006-5055-06,Lagevrio (molnupiravir),21,POINT (-78.697095 43.02222),1639496029.0,04/29/2022 12:00:00 AM,ACTIVE,
CVS Store #00344,49 FOURTH STREET,CVS Pharmacy,Troy,Rensselaer,NY,12180,00006-5055-06,Lagevrio (molnupiravir),23,POINT (-73.68913 42.73201),1376647032.0,04/29/2022 12:00:00 AM,ACTIVE,
Rite Aid 02727,1510 SAINT NICHOLAS AVENUE,,New York,New York,NY,10033-3124,00006-5055-06,Lagevrio (molnupiravir),24,POINT (-73.93142 40.85209),1407965924.0,04/30/2022 12:00:00 AM,ACTIVE,
CVS Store #17101,2900 VETERANS RD W,CVS Pharmacy,Staten Island,Richmond,NY,10309,00006-5055-06,Lagevrio (molnupiravir),24,POINT (-74.23196 40.52845),1538181193.0,04/29/2022 12:00:00 AM,ACTIVE,
Rite Aid 10838,2561 UNION ROAD,,Cheektowaga,Erie,NY,14227-2205,00006-5055-06,Lagevrio (molnupiravir),22,POINT (-78.75315 42.88192),1265531438.0,04/30/2022 12:00:00 AM,ACTIVE,
CVS Store #02431,4112 AVENUE U,CVS Pharmacy,Brooklyn,Kings,NY,11234,00006-5055-06,Lagevrio (molnupiravir),24,POINT (-73.92302 40.60876),1215031075.0,04/29/2022 12:00:00 AM,ACTIVE,
CVS Store #17101,2900 VETERANS RD W,CVS Pharmacy,Staten Island,Richmond,NY,10309,00069-1085-30,Paxlovid,20,POINT (-74.23196 40.52845),1538181193.0,04/29/2022 12:00:00 AM,ACTIVE,
COMMUNITY MEMORIAL HOSPITAL,150 Broad Street,,Hamilton,Madison,NY,13346,00002-7589-01,Bebtelovimab,4,POINT (-75.54421 42.81205),,04/13/2022 12:00:00 AM,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
Rite Aid 03500,3636 RANSOMVILLE ROAD,,Ransomville,Niagara,NY,14131-9767,00006-5055-06,Lagevrio (molnupiravir),20,POINT (-78.910065 43.23785),1427167907.0,04/30/2022 12:00:00 AM,ACTIVE,
CVS Store #02400,1223 2ND AVENUE,CVS Pharmacy,New York,New York,NY,10065,00006-5055-06,Lagevrio (molnupiravir),22,POINT (-73.96232 40.76357),1396849055.0,04/29/2022 12:00:00 AM,ACTIVE,
CVS Store #02457,320 FIFTH AVENUE,CVS Pharmacy,New York,New York,NY,10001,00069-1085-30,Paxlovid,19,POINT (-73.98551 40.74744),1821192642.0,04/29/2022 12:00:00 AM,ACTIVE,
CVS Store #00600,415-419 DELAWARE AVENUE,CVS Pharmacy,Albany,Albany,NY,12209,00006-5055-06,Lagevrio (molnupiravir),47,POINT (-73.78176 42.64117),1548364201.0,04/29/2022 12:00:00 AM,ACTIVE,
CVS Store #00510,820 FRANKLIN AVE.,CVS Pharmacy,Garden City,Nassau,NY,11530,00069-1085-30,Paxlovid,39,POINT (-73.63499 40.72695),1740384585.0,04/29/2022 12:00:00 AM,ACTIVE,
Hannaford Brothers Store # 8367,900 CENTRAL AVENUE,,Albany,Albany,NY,12206,00069-1085-30,Paxlovid,33,POINT (-73.79196 42.67926),1689811515.0,04/30/2022 12:00:00 AM,ACTIVE,
CVS Store #10970,305 EAST 86TH ST.,CVS Pharmacy,New York,New York,NY,10028,00069-1085-30,Paxlovid,55,POINT (-73.95149 40.77787),1780185082.0,04/29/2022 12:00:00 AM,ACTIVE,
Walgreens Store #10134,652 HEMPSTEAD TPKE,,Franklin Square,Nassau,NY,11010,00006-5055-06,Lagevrio (molnupiravir),25,POINT (-73.663683 40.70702),1922265925.0,04/29/2022 12:00:00 AM,ACTIVE,
CVS Store #00793,1013 STATE HWY 29A,CVS Pharmacy,Gloversville,Fulton,NY,12078,00006-5055-06,Lagevrio (molnupiravir),18,POINT (-74.32284 43.05109),1164520789.0,04/29/2022 12:00:00 AM,ACTIVE,
Rite Aid 10644,18 INDIAN HEAD ROAD,,Kings Park,Suffolk,NY,11754-3810,00069-1085-30,Paxlovid,5,POINT (-73.25442 40.88338),1780783027.0,04/30/2022 12:00:00 AM,ACTIVE,
UR Medicine Frederick Ferris Thomp,350 Parrish Street,ATTN: Pharmacy Dept,Canandaigua,Ontario,NY,14424,00069-1085-30,Paxlovid,20,POINT (-77.29108 42.87643),,04/20/2022 12:00:00 AM,ACTIVE,
CVS Store #03295,"1241 LEXINGTON AVE,",CVS Pharmacy,New York,New York,NY,10028,00069-1085-30,Paxlovid,19,POINT (-73.95621 40.77845),1790913986.0,04/29/2022 12:00:00 AM,ACTIVE,
CVS Store #10040,1217 NEPPERHAN AVE.,CVS Pharmacy,Yonkers,Westchester,NY,10703,00006-5055-06,Lagevrio (molnupiravir),20,POINT (-73.87308 40.965755),1801343116.0,04/29/2022 12:00:00 AM,ACTIVE,
Walgreens Store #12272,3008 UNION RD,,Orchard Park,Erie,NY,14127,00006-5055-06,Lagevrio (molnupiravir),44,POINT (-78.752348 42.803435),1891097549.0,04/29/2022 12:00:00 AM,ACTIVE,
LENOX HILL HOSPITAL,100 EAST 77 STREET -PHARMACY,,New York,New York,NY,10075,00002-7589-01,Bebtelovimab,15,POINT (-73.96064 40.77408),,04/25/2022 12:00:00 AM,ACTIVE,
CVS Store #05045,1630 CHRISLER AVENUE,CVS Pharmacy,Schenectady,Schenectady,NY,12303,00006-5055-06,Lagevrio (molnupiravir),16,POINT (-73.93795 42.7903),1366545824.0,04/29/2022 12:00:00 AM,ACTIVE,
Rite Aid 10737,8379 THOMPSON ROAD.,,Cicero,Onondaga,NY,13039-9390,00069-1085-30,Paxlovid,17,POINT (-76.09451 43.1762),1043311855.0,04/30/2022 12:00:00 AM,ACTIVE,
Kinney Drugs #7-Cortland,3666 NYS Route 281,,Cortland,Cortland,NY,13045,00006-5055-06,Lagevrio (molnupiravir),63,POINT (-76.21229 42.58387),1124135702.0,04/29/2022 12:00:00 AM,ACTIVE,
Walgreens Store #04968,5 N TRANSIT ST,,Lockport,Niagara,NY,14094,00069-1085-30,Paxlovid,1,POINT (-78.696864 43.180233),1285649335.0,04/29/2022 12:00:00 AM,ACTIVE,
CVS Store #00802,2320 RALPH AVE.,CVS Pharmacy,Brooklyn,Kings,NY,11234,00006-5055-06,Lagevrio (molnupiravir),22,POINT (-73.91765 40.62129),1841394509.0,04/29/2022 12:00:00 AM,ACTIVE,
Glens Falls Hospital,100 PARK ST,,Glens Falls,Warren,NY,12801-0000,00310-7442-02,Evusheld,303,POINT (-73.646803 43.30693),,04/29/2022 12:00:00 AM,ACTIVE,
Rite Aid 10849,101 SOUTH MAIN STREET,,Newark,Wayne,NY,14513-1419,00069-1085-30,Paxlovid,22,POINT (-77.09565 43.046305),1134229586.0,04/30/2022 12:00:00 AM,ACTIVE,
CVS Store #02432,375 WHITE PLAINS ROAD,CVS Pharmacy,Eastchester,Westchester,NY,10709,00069-1085-30,Paxlovid,24,POINT (-73.814185 40.95409),1124122981.0,04/29/2022 12:00:00 AM,ACTIVE,
Rite Aid 01617,238 HOOKER AVENUE,,Poughkeepsie,Dutchess,NY,12603-3326,00069-1085-30,Paxlovid,7,POINT (-73.91182 41.68688),1528179769.0,04/30/2022 12:00:00 AM,ACTIVE,
CVS Store #16931,50 SPRING VALLEY MARKET PL,CVS Pharmacy,Spring Valley,Rockland,NY,10977,00006-5055-06,Lagevrio (molnupiravir),23,POINT (-74.023087 41.10466),1033131685.0,04/29/2022 12:00:00 AM,ACTIVE,
FOOD PARADE  RX 807,1675 OLD COUNTRY RD,FOOD PARADE  RX 807,Plainview,Nassau,NY,11803,00069-1085-30,Paxlovid,39,POINT (-73.4464 40.78085),,03/16/2022 12:00:00 AM,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
CVS Store #05087,19 S. MAIN ST.,CVS Pharmacy,Jamestown,Chautauqua,NY,14701,00069-1085-30,Paxlovid,19,POINT (-79.238655 42.093545),1235232075.0,04/29/2022 12:00:00 AM,ACTIVE,
CVS Store #16951,578 AVIATION RD STE 1S,CVS Pharmacy,Queensbury,Warren,NY,12804,00069-1085-30,Paxlovid,19,POINT (-73.6783 43.32624),1013939669.0,04/29/2022 12:00:00 AM,ACTIVE,
Omnicare of Rochester #48314,175 Humboldt Street Suite 225,,Rochester,Monroe,NY,14610,00310-7442-02,Evusheld,8,POINT (-77.564957 43.152375),1811009335.0,04/29/2022 12:00:00 AM,ACTIVE,
Rite Aid 10538,43-68 AMBOY ROAD,,Staten Island,Richmond,NY,10312-3820,00006-5055-06,Lagevrio (molnupiravir),22,POINT (-74.16081 40.544565),1093814329.0,04/30/2022 12:00:00 AM,ACTIVE,
Rite Aid 00629,1000 NORTH CLINTON AVENUE,,Rochester,Monroe,NY,14621-4526,00006-5055-06,Lagevrio (molnupiravir),23,POINT (-77.61303 43.1771),1992815807.0,04/30/2022 12:00:00 AM,ACTIVE,
CVS Store #16661,1300 ULSTER AVE,CVS Pharmacy,Kingston,Ulster,NY,12401,00006-5055-06,Lagevrio (molnupiravir),24,POINT (-73.98464 41.966815),1235151887.0,04/29/2022 12:00:00 AM,ACTIVE,
Rite Aid 10821,47 NIAGARA STREET,,Tonawanda,Erie,NY,14150-1105,00006-5055-06,Lagevrio (molnupiravir),22,POINT (-78.87982 43.02018),1659471001.0,04/30/2022 12:00:00 AM,ACTIVE,
CVS Store #02134,2660 JERUSALEM AVENUE,CVS Pharmacy,North Bellmore,Nassau,NY,11710,00006-5055-06,Lagevrio (molnupiravir),21,POINT (-73.53444 40.691195),1053419689.0,04/29/2022 12:00:00 AM,ACTIVE,
CVS Store #17365,8061 BREWERTON RD,CVS Pharmacy,Cicero,Onondaga,NY,13039,00069-1085-30,Paxlovid,20,POINT (-76.122825 43.161635),1962610402.0,04/29/2022 12:00:00 AM,ACTIVE,
Walgreens Store #10383,815 HARLEM RD,,West Seneca,Erie,NY,14224,00006-5055-06,Lagevrio (molnupiravir),93,POINT (-78.786424 42.86503),1568662716.0,04/29/2022 12:00:00 AM,ACTIVE,
Hannaford Brothers Store # 8366,401 EAST ALBANY STREET,,Herkimer,Herkimer,NY,13350,00069-1085-30,Paxlovid,33,POINT (-74.98075 43.02958),1588772966.0,04/30/2022 12:00:00 AM,ACTIVE,
Rite Aid 07808,4188 BROADWAY,,New York,New York,NY,10033-3736,00006-5055-06,Lagevrio (molnupiravir),24,POINT (-73.93752 40.8481),1104936004.0,04/30/2022 12:00:00 AM,ACTIVE,
CVS Store #02180,163 ROBINSON STREET,CVS Pharmacy,Binghamton,Broome,NY,13904,00069-1085-30,Paxlovid,36,POINT (-75.88925 42.10796),1548368178.0,04/29/2022 12:00:00 AM,ACTIVE,
Walmart Pharmacy #2097,460 Fairview Ave,,Hudson,Columbia,NY,12534,00006-5055-06,Lagevrio (molnupiravir),48,POINT (-73.75025 42.278),1417974643.0,04/29/2022 12:00:00 AM,ACTIVE,
Nutracare Pharmacy,22036 HILLSIDE AVE,,Queens Village,Queens,NY,11427,00069-1085-30,Paxlovid,20,POINT (-73.74228 40.73094),1699124974.0,04/29/2022 12:00:00 AM,ACTIVE,
Walgreens Store #19145,5942 S SALINA ST,,Syracuse,Onondaga,NY,13205,00069-1085-30,Paxlovid,16,POINT (-76.14386 42.98443),1326562398.0,04/29/2022 12:00:00 AM,ACTIVE,
Wegmans Food Markets Inc.,345 Eastern Blvd.,Wegmans,Canandaigua,Ontario,NY,14424,00006-5055-06,Lagevrio (molnupiravir),21,POINT (-77.25529 42.87617),,04/08/2022 12:00:00 AM,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
Walgreens Store #19370,615 S MEADOW ST,,Ithaca,Tompkins,NY,14850,00006-5055-06,Lagevrio (molnupiravir),48,POINT (-76.507513 42.43326),1306360672.0,04/29/2022 12:00:00 AM,ACTIVE,
CVS Store #00491,72-09 NORTHERN BOULEVARD,CVS Pharmacy,Jackson Heights,Queens,NY,11372,00069-1085-30,Paxlovid,28,POINT (-73.89426 40.75497),1477651016.0,04/29/2022 12:00:00 AM,ACTIVE,
LEWIS CO GENERAL HOSP,7785 N STATE ST,,Lowville,Lewis,NY,13367,00310-7442-02,Evusheld,48,POINT (-75.49911 43.79542),,04/19/2022 12:00:00 AM,ACTIVE,
Walmart Pharmacy #2911,3018 EAST AVE,,Central Square,Oswego,NY,13036,00069-1085-30,Paxlovid,6,POINT (-76.12828 43.29183),1316964489.0,04/29/2022 12:00:00 AM,ACTIVE,
OSWEGO HOSPITAL,110 West 6th St,Pharmacy 4th floor,Oswego,Oswego,NY,13126-2598,00310-7442-02,Evusheld,0,POINT (-76.516475 43.454005),,12/20/2021 12:00:00 AM,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
Walgreens Store #12758,1820 WILLIAMSBRIDGE RD,,Bronx,Bronx,NY,10461,00069-1085-30,Paxlovid,1,POINT (-73.85153 40.85085),1427343581.0,04/29/2022 12:00:00 AM,ACTIVE,
Stop and Shop Store # 554,385 ROUTE 25A AND MILLER PLACE,,Miller Place,Suffolk,NY,11764,00069-1085-30,Paxlovid,8,POINT (-72.98711 40.94208),1851323711.0,04/30/2022 12:00:00 AM,ACTIVE,
Walgreens Store #09940,406 S OYSTER BAY RD,,Hicksville,Nassau,NY,11801,00006-5055-06,Lagevrio (molnupiravir),48,POINT (-73.503405 40.78171),1669638607.0,04/29/2022 12:00:00 AM,ACTIVE,
Rite Aid 10881,2898 WESTINGHOUSE ROAD,,Horseheads,Chemung,NY,14845-8196,00006-5055-06,Lagevrio (molnupiravir),51,POINT (-76.836126 42.17619),1497856298.0,04/30/2022 12:00:00 AM,ACTIVE,
CVS Store #16740,519 GATEWAY DR,CVS Pharmacy,Brooklyn,Kings,NY,11239,00069-1085-30,Paxlovid,19,POINT (-73.87017 40.65298),1952323503.0,04/29/2022 12:00:00 AM,ACTIVE,
CVS Store #00232,277 E. MAIN ST.,CVS Pharmacy,Avon,Livingston,NY,14414,00069-1085-30,Paxlovid,1,POINT (-77.733265 42.9096),1609970466.0,04/29/2022 12:00:00 AM,ACTIVE,
CVS Store #02838,48 E. MARKET ST.,CVS Pharmacy,Rhinebeck,Dutchess,NY,12572,00069-1085-30,Paxlovid,20,POINT (-73.91094 41.92639),1285738047.0,04/29/2022 12:00:00 AM,ACTIVE,
