,Provider Name,Order Label,County,Geocoded Address
1224,CVS Store #02940,Lagevrio (molnupiravir),New York,POINT (-73.995885 40.75956)
1234,CVS Store #08968,Paxlovid,New York,POINT (-73.94599 40.651625)
1239,JEWISH HOME LIFECARE - MANHATTAN,Lagevrio (molnupiravir),New York,POINT (-73.96448 40.79972)
1242,CVS Store #02558,Lagevrio (molnupiravir),New York,POINT (-74.0001 40.732455)
1280,CVS Store #11132,Paxlovid,New York,POINT (-73.987826 40.72229)
1315,CVS Store #10654,Paxlovid,New York,POINT (-73.971635 40.754)
1321,CVS Store #10298,Paxlovid,New York,POINT (-73.98221 40.766885)
1345,Vivo Health Pharmacy at Lenox Hill,Lagevrio (molnupiravir),New York,POINT (-73.96064 40.77408)
1381,ESCO DRUG CO INC,Bebtelovimab,New York,POINT (-73.990395 40.761915)
1404,CVS Store #02445,Paxlovid,New York,POINT (-73.97482 40.78813)
1414,CVS Store #10613,Paxlovid,New York,POINT (-73.99389 40.75191)
1433,Rite Aid 02727,Paxlovid,New York,POINT (-73.93142 40.85209)
1437,CVS Store #02144,Paxlovid,New York,POINT (-73.95796 40.76916)
1440,Rite Aid 04195,Paxlovid,New York,POINT (-73.99772 40.74605)
1478,CVS Store #11132,Lagevrio (molnupiravir),New York,POINT (-73.987826 40.72229)
1500,CVS Store #07019,Paxlovid,New York,POINT (-73.93831 40.6522)
1508,CVS Store #06066,Paxlovid,New York,POINT (-73.97365 40.7927)
1526,CVS Store #02557,Lagevrio (molnupiravir),New York,POINT (-73.98236 40.73196)
1537,CVS Store #17728,Lagevrio (molnupiravir),New York,POINT (-73.9868 40.71612)
1597,CVS Store #06062,Lagevrio (molnupiravir),New York,POINT (-73.98561 40.77807)
1601,NYC HEALTH + HOSPITALS/BELLEVUE,Bebtelovimab,New York,POINT (-73.97534 40.73875)
1611,MEMORIAL HOSPITAL FOR CANCER AND AL,Bebtelovimab,New York,POINT (-73.9559 40.76409)
1615,CVS Store #06062,Paxlovid,New York,POINT (-73.98561 40.77807)
1618,CVS Store #10933,Lagevrio (molnupiravir),New York,POINT (-74.0039 40.72553)
1620,CVS Store #02962,Paxlovid,New York,POINT (-73.98687 40.73979)
1647,Vivo Health Pharmacy at Lenox Hill,Paxlovid,New York,POINT (-73.96064 40.77408)
1649,Lenox Terrace Drugs,Paxlovid,New York,POINT (-73.93888 40.8131)
1664,NYP-COLUMBIA UNIVERSITY MEDICAL CTR,Evusheld,New York,POINT (-73.94225 40.83992)
1705,Rite Aid 04887,Paxlovid,New York,POINT (-73.92198 40.867155)
1753,HOSPITAL FOR SPECIAL SURGERY,Paxlovid,New York,POINT (-73.9529 40.7649)
1765,CVS Store #10235,Paxlovid,New York,POINT (-73.98993 40.76692)
1767,CVS Store #17688,Paxlovid,New York,POINT (-74.01107 40.71445)
1768,CityDrug And Surgical,Paxlovid,New York,POINT (-73.93914 40.83925)
1775,CVS Store #10764,Lagevrio (molnupiravir),New York,POINT (-73.980135 40.752)
1786,CVS Store #07186,Lagevrio (molnupiravir),New York,POINT (-73.983247 40.75082)
1792,CVS Store #02558,Paxlovid,New York,POINT (-74.0001 40.732455)
1807,90th Street Pharmacy,Paxlovid,New York,POINT (-73.95695 40.78367)
1827,CVS Store #02773,Paxlovid,New York,POINT (-73.92569 40.86243)
1894,CVS Store #10460,Lagevrio (molnupiravir),New York,POINT (-73.9625 40.76749)
1899,NYC HEALTH + HOSPITALS/HARLEM,Bebtelovimab,New York,POINT (-73.94 40.81)
1904,CVS Store #17817,Lagevrio (molnupiravir),New York,POINT (-73.96605 40.79469)
1931,CVS Store #02168,Lagevrio (molnupiravir),New York,POINT (-73.98452 40.76499)
1954,ESCO DRUG CO INC,Lagevrio (molnupiravir),New York,POINT (-73.990395 40.761915)
1959,ALTO PHARMACY,Paxlovid,New York,POINT (-73.978765 40.751295)
1969,CVS Store #02411,Lagevrio (molnupiravir),New York,POINT (-73.95147 40.77419)
1979,LENOX HEALTH GREENWICH VILLAGE,Paxlovid,New York,POINT (-74.0006 40.73762)
1986,CVS Store #11226,Lagevrio (molnupiravir),New York,POINT (-73.9841 40.742775)
1999,CVS Store #03752,Lagevrio (molnupiravir),New York,POINT (-73.93465 40.689365)
2015,CVS Store #11237,Lagevrio (molnupiravir),New York,POINT (-73.984745 40.748765)
2023,CVS Store #10112,Lagevrio (molnupiravir),New York,POINT (-73.95275 40.81036)
2026,CVS Store #08968,Lagevrio (molnupiravir),New York,POINT (-73.94599 40.651625)
2045,Rite Aid 04189,Lagevrio (molnupiravir),New York,POINT (-73.966865 40.793195)
2058,Rite Aid 03771,Lagevrio (molnupiravir),New York,POINT (-73.976655 40.722829)
2077,CVS Store #11226,Paxlovid,New York,POINT (-73.9841 40.742775)
2091,CVS Store #02671,Paxlovid,New York,POINT (-73.959865 40.654555)
2150,CVS Store #02144,Lagevrio (molnupiravir),New York,POINT (-73.95796 40.76916)
2163,CVS Store #17726,Lagevrio (molnupiravir),New York,POINT (-73.98883 40.749905)
2177,CVS Store #17815,Paxlovid,New York,POINT (-73.95537 40.7793)
2178,Rite Aid 01711,Paxlovid,New York,POINT (-73.98634 40.71599)
2195,Avenue C Pharmacy,Paxlovid,New York,POINT (-73.97667 40.72654)
2197,CVS Store #04014,Lagevrio (molnupiravir),New York,POINT (-73.98046 40.78259)
2199,Rite Aid 04798,Lagevrio (molnupiravir),New York,POINT (-73.93899 40.79905)
2238,CVS Store #02717,Lagevrio (molnupiravir),New York,POINT (-73.95466 40.78094)
2247,Rite Aid 04205,Paxlovid,New York,POINT (-73.98687 40.72564)
2264,Rite Aid 07808,Paxlovid,New York,POINT (-73.93752 40.8481)
2269,CVS Store #02434,Lagevrio (molnupiravir),New York,POINT (-73.97949 40.73714)
2292,CVS Store #02716,Lagevrio (molnupiravir),New York,POINT (-74.007445 40.71027)
2337,NYP-WEILL CORNELL MEDICAL CTR,Paxlovid,New York,POINT (-73.95346 40.76542)
2353,CVS Store #02671,Lagevrio (molnupiravir),New York,POINT (-73.959865 40.654555)
2379,MEMORIAL HOSPITAL FOR CANCER AND AL,Evusheld,New York,POINT (-73.9559 40.76409)
2380,JEWISH HOME LIFECARE - MANHATTAN,Bebtelovimab,New York,POINT (-73.96448 40.79972)
2396,SMARTRX PHARMACY INC,Evusheld,New York,POINT (-73.946125 40.79279)
2446,CVS Store #10407,Lagevrio (molnupiravir),New York,POINT (-73.99468 40.72519)
2451,Rite Aid 04185,Paxlovid,New York,POINT (-73.95078 40.82617)
2456,CVS Store #10612,Paxlovid,New York,POINT (-73.99361 40.73571)
2467,Upper Madison Drugs,Paxlovid,New York,POINT (-73.94939 40.79402)
2476,Rite Aid 02010,Lagevrio (molnupiravir),New York,POINT (-73.93901 40.8429)
2478,CVS Store #10298,Lagevrio (molnupiravir),New York,POINT (-73.98221 40.766885)
2496,NYU LANGONE -TISCH HOSPITAL,Bebtelovimab,New York,POINT (-73.9745 40.74225)
2497,CVS Store #17797,Paxlovid,New York,POINT (-73.93447 40.84953)
2523,CVS Store #02400,Paxlovid,New York,POINT (-73.96232 40.76357)
2532,CVS Store #02360,Paxlovid,New York,POINT (-73.96999 40.79439)
2581,CVS Store #02737,Paxlovid,New York,POINT (-73.94605 40.80819)
2607,CVS Store #17750,Lagevrio (molnupiravir),New York,POINT (-73.97829 40.74129)
2611,CVS Store #06066,Lagevrio (molnupiravir),New York,POINT (-73.97365 40.7927)
2616,Boriken Neighborhood Health Center,Paxlovid,New York,POINT (-73.93648 40.80249)
2621,CVS Store #02411,Paxlovid,New York,POINT (-73.95147 40.77419)
2649,CVS Store #10764,Paxlovid,New York,POINT (-73.980135 40.752)
2661,CVS Store #10041,Lagevrio (molnupiravir),New York,POINT (-74.00463 40.747605)
2695,CVS Store #02427,Lagevrio (molnupiravir),New York,POINT (-73.98852 40.73692)
2697,CVS Store #04014,Paxlovid,New York,POINT (-73.98046 40.78259)
2763,CVS Store #02058,Paxlovid,New York,POINT (-73.99988 40.72843)
2771,CVS Store #02457,Lagevrio (molnupiravir),New York,POINT (-73.98551 40.74744)
2777,CVS Store #17797,Lagevrio (molnupiravir),New York,POINT (-73.93447 40.84953)
2817,ALTO PHARMACY,Evusheld,New York,POINT (-73.978765 40.751295)
2875,Rite Aid 04887,Lagevrio (molnupiravir),New York,POINT (-73.92198 40.867155)
2881,CVS Store #02939,Paxlovid,New York,POINT (-73.982783 40.715425)
2889,CVS Store #17815,Lagevrio (molnupiravir),New York,POINT (-73.95537 40.7793)
2900,Rite Aid 07759,Lagevrio (molnupiravir),New York,POINT (-73.94013 40.83594)
2912,CVS Store #02435,Paxlovid,New York,POINT (-74.00302 40.73367)
2913,CVS Store #11059,Paxlovid,New York,POINT (-73.91434 40.685112)
2928,CVS Store #02427,Paxlovid,New York,POINT (-73.98852 40.73692)
2960,Century Pharmacy,Paxlovid,New York,POINT (-73.988665 40.71294)
2969,Healthsource Pharmacy,Paxlovid,New York,POINT (-73.9598 40.76665)
2987,Rite Aid 01711,Lagevrio (molnupiravir),New York,POINT (-73.98634 40.71599)
2996,NYC HEALTH + HOSPITALS/HARLEM,Evusheld,New York,POINT (-73.94 40.81)
3009,CVS Store #10460,Paxlovid,New York,POINT (-73.9625 40.76749)
3025,JEWISH HOME LIFECARE - MANHATTAN,Paxlovid,New York,POINT (-73.96448 40.79972)
3033,Walgreens Store #14245,Paxlovid,New York,POINT (-73.93765 40.80465)
3039,Rite Aid 02010,Paxlovid,New York,POINT (-73.93901 40.8429)
3042,CVS Store #07186,Paxlovid,New York,POINT (-73.983247 40.75082)
