,Provider Name,Order Label,County,Geocoded Address
355,NEERGAARD PHARMACY,Lagevrio (molnupiravir),Kings,POINT (-73.986765 40.668945)
406,St. Jude Pharmacy,Lagevrio (molnupiravir),Kings,POINT (-73.917835 40.705495)
414,Rite Aid 00543,Lagevrio (molnupiravir),Kings,POINT (-74.01206 40.64363)
456,Rite Aid 10584,Lagevrio (molnupiravir),Kings,POINT (-73.99436 40.6813)
487,LevelUP MD Urgent Care Broadway,Bebtelovimab,Kings,POINT (-73.96015 40.709)
492,CVS Store #00845,Lagevrio (molnupiravir),Kings,POINT (-73.99683 40.679855)
497,Rite Aid 03864,Lagevrio (molnupiravir),Kings,POINT (-73.938455 40.651175)
540,SUNY UNIVERSITY HOSPITAL OF BKLYN,Bebtelovimab,Kings,POINT (-73.94519 40.65509)
581,Rite Aid 04733,Paxlovid,Kings,POINT (-73.9915 40.68541)
582,KINGS PARK SLOPE,Paxlovid,Kings,POINT (-73.971955 40.676905)
614,CVS Store #10291,Lagevrio (molnupiravir),Kings,POINT (-73.9571 40.60957)
637,Stop and Shop Store # 2586,Paxlovid,Kings,POINT (-73.97557 40.68367)
645,CVS Store #02906,Paxlovid,Kings,POINT (-73.89647 40.64618)
661,Rejuvio,Bebtelovimab,Kings,POINT (-73.93889 40.72371)
665,Abraham R Lehman MD,Bebtelovimab,Kings,POINT (-73.95621 40.69409)
670,CVS Store #00802,Paxlovid,Kings,POINT (-73.91765 40.62129)
683,CVS Store #02699,Paxlovid,Kings,POINT (-73.97454 40.636115)
730,CVS Store #00845,Paxlovid,Kings,POINT (-73.99683 40.679855)
732,WYCKOFF HEIGHTS MEDICAL CENTER,Bebtelovimab,Kings,POINT (-73.91757 40.70438)
761,Rite Aid 04893,Paxlovid,Kings,POINT (-73.92073 40.67856)
766,Rite Aid 04893,Lagevrio (molnupiravir),Kings,POINT (-73.92073 40.67856)
784,LevelUP MD Urgent Care Voorhies,Bebtelovimab,Kings,POINT (-73.953175 40.58596)
801,Rite Aid 04738,Paxlovid,Kings,POINT (-73.91306 40.66943)
804,CVS Store #02574,Lagevrio (molnupiravir),Kings,POINT (-74.01113 40.62962)
824,R Joudeh Medical Pavilion PLLC,Bebtelovimab,Kings,POINT (-74.02175 40.633625)
829,Rite Aid 04269,Paxlovid,Kings,POINT (-74.01983 40.63921)
832,Rite Aid 10585,Paxlovid,Kings,POINT (-73.91436 40.6156)
836,CVS Store #02699,Lagevrio (molnupiravir),Kings,POINT (-73.97454 40.636115)
840,J Drugs II,Paxlovid,Kings,POINT (-73.94205 40.61742)
847,Rite Aid 03888,Paxlovid,Kings,POINT (-73.88863 40.63437)
879,Rite Aid 03627,Paxlovid,Kings,POINT (-73.92008 40.66076)
894,Kings Bay Chemists,Paxlovid,Kings,POINT (-73.94121 40.59603)
905,CVS Store #02700,Paxlovid,Kings,POINT (-73.954875 40.587305)
929,Stop and Shop Store # 505,Lagevrio (molnupiravir),Kings,POINT (-73.95252 40.58982)
945,CVS Store #17790,Paxlovid,Kings,POINT (-74.00083 40.59505)
974,Rite Aid 03888,Lagevrio (molnupiravir),Kings,POINT (-73.88863 40.63437)
988,AVENUE U MEDICAL CARE PC,Bebtelovimab,Kings,POINT (-73.968708 40.597506)
1052,CVS Store #02344,Lagevrio (molnupiravir),Kings,POINT (-73.95003 40.65655)
1066,CVS Store #02441,Paxlovid,Kings,POINT (-73.99462 40.60264)
1101,Kings Court Drugs Inc,Paxlovid,Kings,POINT (-73.96255 40.635315)
1124,Parcare-bay parkway,Bebtelovimab,Kings,POINT (-73.978985 40.61654)
1152,CVS Store #10042,Paxlovid,Kings,POINT (-73.95405 40.72939)
1154,CVS Store #02769,Lagevrio (molnupiravir),Kings,POINT (-73.929 40.63413)
1180,Rite Aid 03627,Lagevrio (molnupiravir),Kings,POINT (-73.92008 40.66076)
1191,CVS Store #17681,Paxlovid,Kings,POINT (-73.983135 40.690915)
1203,CVS Store #02498,Paxlovid,Kings,POINT (-73.98483 40.668785)
1209,CVS Store #13019,Lagevrio (molnupiravir),Kings,POINT (-73.97962 40.693345)
1278,CVS Store #02431,Paxlovid,Kings,POINT (-73.92302 40.60876)
1292,Dr Jason Zimmerman,Bebtelovimab,Kings,POINT (-73.94495 40.62074)
1296,CVS Store #10042,Lagevrio (molnupiravir),Kings,POINT (-73.95405 40.72939)
1360,J Drugs,Paxlovid,Kings,POINT (-73.96393 40.62503)
1379,SUNY UNIVERSITY HOSPITAL OF BKLYN,Paxlovid,Kings,POINT (-73.94519 40.65509)
1432,NEW YORK COMMUNITY HOSPITAL,Bebtelovimab,Kings,POINT (-73.94843 40.613885)
1436,CVS Store #02672,Lagevrio (molnupiravir),Kings,POINT (-73.99297 40.68877)
1443,CVS Store #17790,Lagevrio (molnupiravir),Kings,POINT (-74.00083 40.59505)
1447,CVS Store #00644,Paxlovid,Kings,POINT (-74.00193 40.60816)
1477,Rite Aid 01881,Paxlovid,Kings,POINT (-73.9846 40.6058)
1484,Rite Aid 10579,Lagevrio (molnupiravir),Kings,POINT (-74.010675 40.629662)
1546,CVS Store #16969,Lagevrio (molnupiravir),Kings,POINT (-73.97748 40.68448)
1561,Rite Aid 04738,Lagevrio (molnupiravir),Kings,POINT (-73.91306 40.66943)
1571,INTERFAITH MEDICAL CENTER,Paxlovid,Kings,POINT (-73.93746 40.67812)
1585,Rite Aid 03869,Paxlovid,Kings,POINT (-73.927665 40.628875)
1614,Rite Aid 10575,Lagevrio (molnupiravir),Kings,POINT (-73.94561 40.621395)
1623,Rite Aid 10575,Paxlovid,Kings,POINT (-73.94561 40.621395)
1692,CVS Store #02428,Paxlovid,Kings,POINT (-73.97298 40.57961)
1708,Rite Aid 03869,Lagevrio (molnupiravir),Kings,POINT (-73.927665 40.628875)
1720,CVS Store #17290,Lagevrio (molnupiravir),Kings,POINT (-73.94636 40.63135)
1735,CVS Store #10291,Paxlovid,Kings,POINT (-73.9571 40.60957)
1769,Rite Aid 00543,Paxlovid,Kings,POINT (-74.01206 40.64363)
1802,Rite Aid 01881,Lagevrio (molnupiravir),Kings,POINT (-73.9846 40.6058)
1811,Rite Aid 04257,Lagevrio (molnupiravir),Kings,POINT (-73.997 40.57536)
1843,Brownsville Multi-Service Fam HC,Paxlovid,Kings,POINT (-73.909865 40.66536)
1854,CVS Store #02574,Paxlovid,Kings,POINT (-74.01113 40.62962)
1862,Rite Aid 03766,Lagevrio (molnupiravir),Kings,POINT (-73.9779 40.61689)
1864,SUNY UNIVERSITY HOSPITAL OF BKLYN,Evusheld,Kings,POINT (-73.94519 40.65509)
1896,NEERGAARD PHARMACY,Paxlovid,Kings,POINT (-73.986765 40.668945)
1897,LaSante Health Center,Bebtelovimab,Kings,POINT (-73.950805 40.65605)
1914,Rite Aid 04935,Paxlovid,Kings,POINT (-73.97937 40.66895)
1933,St. Jude Pharmacy,Paxlovid,Kings,POINT (-73.917835 40.705495)
1950,CVS Store #17767,Paxlovid,Kings,POINT (-73.92701 40.63624)
1995,Rite Aid 04935,Lagevrio (molnupiravir),Kings,POINT (-73.97937 40.66895)
2007,Rite Aid 04269,Lagevrio (molnupiravir),Kings,POINT (-74.01983 40.63921)
2014,NEW YORK COMMUNITY HOSPITAL,Lagevrio (molnupiravir),Kings,POINT (-73.94843 40.613885)
2031,CVS Store #02428,Lagevrio (molnupiravir),Kings,POINT (-73.97298 40.57961)
2033,CVS Store #17290,Paxlovid,Kings,POINT (-73.94636 40.63135)
2041,Rite Aid 01947,Lagevrio (molnupiravir),Kings,POINT (-73.91578 40.68561)
2043,CVS Store #00644,Lagevrio (molnupiravir),Kings,POINT (-74.00193 40.60816)
2074,Rite Aid 02612,Paxlovid,Kings,POINT (-73.97064 40.59037)
2086,CVS Store #02906,Lagevrio (molnupiravir),Kings,POINT (-73.89647 40.64618)
2129,Rite Aid 03978,Paxlovid,Kings,POINT (-73.95687 40.6652)
2137,CVS Store #10086,Lagevrio (molnupiravir),Kings,POINT (-73.98058 40.68805)
2184,S Bros Pharmacy,Paxlovid,Kings,POINT (-73.95656 40.70253)
2205,CVS Store #02344,Paxlovid,Kings,POINT (-73.95003 40.65655)
2227,Rite Aid 10577,Paxlovid,Kings,POINT (-74.0007 40.60901)
2233,Sunset Terrace Fam HC - NYU Langone,Lagevrio (molnupiravir),Kings,POINT (-74.00921 40.645145)
2267,Fine Care Pharmacy,Bebtelovimab,Kings,POINT (-73.92121 40.700225)
2282,Rite Aid 03958,Lagevrio (molnupiravir),Kings,POINT (-73.95101 40.59924)
2304,Rite Aid 04876,Lagevrio (molnupiravir),Kings,POINT (-73.93962 40.5909)
2321,Rite Aid 04712,Paxlovid,Kings,POINT (-74.03333 40.61855)
2334,Fine Care Pharmacy,Lagevrio (molnupiravir),Kings,POINT (-73.92121 40.700225)
2381,Rite Aid 04712,Lagevrio (molnupiravir),Kings,POINT (-74.03333 40.61855)
2386,CVS Store #04958,Lagevrio (molnupiravir),Kings,POINT (-73.962565 40.720115)
2388,NYC HEALTH + HOSPITALS/CONEY ISLAND,Paxlovid,Kings,POINT (-73.96573 40.58602)
2403,CVS Store #01791,Paxlovid,Kings,POINT (-73.994015 40.696065)
2407,KindFusion DUMBO Office,Bebtelovimab,Kings,POINT (-73.98708 40.70305)
2425,CVS Store #02498,Lagevrio (molnupiravir),Kings,POINT (-73.98483 40.668785)
2465,SUNY UNIVERSITY HOSPITAL OF BKLYN,Lagevrio (molnupiravir),Kings,POINT (-73.94519 40.65509)
2472,Rite Aid 04257,Paxlovid,Kings,POINT (-73.997 40.57536)
2475,Fine Care Pharmacy,Evusheld,Kings,POINT (-73.92121 40.700225)
2484,Rite Aid 04782,Lagevrio (molnupiravir),Kings,POINT (-73.952881 40.727443)
2525,CVS Store #05847,Paxlovid,Kings,POINT (-73.98391 40.61102)
2530,CVS Store #01791,Lagevrio (molnupiravir),Kings,POINT (-73.994015 40.696065)
2571,CVS Store #06766,Lagevrio (molnupiravir),Kings,POINT (-73.9923 40.69412)
2589,Rite Aid 03978,Lagevrio (molnupiravir),Kings,POINT (-73.95687 40.6652)
2637,CVS Store #02436,Lagevrio (molnupiravir),Kings,POINT (-73.88288 40.64712)
2638,UTICA EXPRESS PHARMACY INC,Paxlovid,Kings,POINT (-73.93102 40.67225)
2641,Rite Aid 04954,Paxlovid,Kings,POINT (-73.91392 40.63467)
2657,Rite Aid 03958,Paxlovid,Kings,POINT (-73.95101 40.59924)
2684,CVS Store #17767,Lagevrio (molnupiravir),Kings,POINT (-73.92701 40.63624)
2691,Sunset Terrace Fam HC - NYU Langone,Paxlovid,Kings,POINT (-74.00921 40.645145)
2723,Kiras Pharmacy,Paxlovid,Kings,POINT (-73.98809 40.60606)
2778,Rite Aid 10579,Paxlovid,Kings,POINT (-74.010675 40.629662)
2779,CVS Store #02700,Lagevrio (molnupiravir),Kings,POINT (-73.954875 40.587305)
2791,Rite Aid 04246,Paxlovid,Kings,POINT (-73.95862 40.64952)
2792,CVS Store #17681,Lagevrio (molnupiravir),Kings,POINT (-73.983135 40.690915)
2808,CVS Store #16969,Paxlovid,Kings,POINT (-73.97748 40.68448)
2837,Rite Aid 10585,Lagevrio (molnupiravir),Kings,POINT (-73.91436 40.6156)
2839,Rite Aid 03766,Paxlovid,Kings,POINT (-73.9779 40.61689)
2860,Bobo Pharmacy Inc,Paxlovid,Kings,POINT (-73.992455 40.616585)
2902,Rite Aid 03864,Paxlovid,Kings,POINT (-73.938455 40.651175)
2927,Rite Aid 10574,Paxlovid,Kings,POINT (-74.027165 40.633835)
2955,Stop and Shop Store # 505,Paxlovid,Kings,POINT (-73.95252 40.58982)
2973,CVS Store #02672,Paxlovid,Kings,POINT (-73.99297 40.68877)
3016,Rite Aid 04733,Lagevrio (molnupiravir),Kings,POINT (-73.9915 40.68541)
3021,Frontline Pharmacy and Surgical,Paxlovid,Kings,POINT (-73.898015 40.675435)
